Read model:  14.550519466400146
Initiation:  0.00879669189453125
top_left= (0, 0)  to bottom_right= (10980, 6)
Reading:  0.18680858612060547
Reading image in loop:  0.18688249588012695
predict:  0.47379517555236816
append:  3.5762786865234375e-06
top_left= (0, 6)  to bottom_right= (10980, 12)
Reading:  0.20993256568908691
Reading image in loop:  0.8707919120788574
predict:  0.4678833484649658
append:  7.62939453125e-06
top_left= (0, 12)  to bottom_right= (10980, 18)
Reading:  0.21465134620666504
Reading image in loop:  1.553497314453125
predict:  0.4667656421661377
append:  4.0531158447265625e-06
top_left= (0, 18)  to bottom_right= (10980, 24)
Reading:  0.21051335334777832
Reading image in loop:  2.2309279441833496
predict:  0.46860575675964355
append:  4.0531158447265625e-06
top_left= (0, 24)  to bottom_right= (10980, 30)
Reading:  0.21135425567626953
Reading image in loop:  2.9110236167907715
predict:  0.4704244136810303
append:  4.0531158447265625e-06
top_left= (0, 30)  to bottom_right= (10980, 36)
Reading:  0.2203822135925293
Reading image in loop:  3.6019842624664307
predict:  0.46978116035461426
append:  7.3909759521484375e-06
top_left= (0, 36)  to bottom_right= (10980, 42)
Reading:  0.21594762802124023
Reading image in loop:  4.287939786911011
predict:  0.46767735481262207
append:  3.337860107421875e-06
top_left= (0, 42)  to bottom_right= (10980, 48)
Reading:  0.21344804763793945
Reading image in loop:  4.969207525253296
predict:  0.4691023826599121
append:  4.0531158447265625e-06
top_left= (0, 48)  to bottom_right= (10980, 54)
Reading:  0.21189665794372559
Reading image in loop:  5.650374889373779
predict:  0.4649486541748047
append:  2.6226043701171875e-06
top_left= (0, 54)  to bottom_right= (10980, 60)
Reading:  0.2043917179107666
Reading image in loop:  6.319839239120483
predict:  0.46610212326049805
append:  3.5762786865234375e-06
top_left= (0, 60)  to bottom_right= (10980, 66)
Reading:  0.2099597454071045
Reading image in loop:  6.9960596561431885
predict:  0.46756672859191895
append:  7.62939453125e-06
top_left= (0, 66)  to bottom_right= (10980, 72)
Reading:  0.21709394454956055
Reading image in loop:  7.680929183959961
predict:  0.46788907051086426
append:  3.814697265625e-06
top_left= (0, 72)  to bottom_right= (10980, 78)
Reading:  0.2116694450378418
Reading image in loop:  8.360627174377441
predict:  0.4632565975189209
append:  2.1457672119140625e-06
top_left= (0, 78)  to bottom_right= (10980, 84)
Reading:  0.18652009963989258
Reading image in loop:  9.010539770126343
predict:  0.4644608497619629
append:  7.152557373046875e-06
top_left= (0, 84)  to bottom_right= (10980, 90)
Reading:  0.22042131423950195
Reading image in loop:  9.695605039596558
predict:  0.46483945846557617
append:  2.1457672119140625e-06
top_left= (0, 90)  to bottom_right= (10980, 96)
Reading:  0.1795666217803955
Reading image in loop:  10.340111255645752
predict:  0.46904540061950684
append:  4.291534423828125e-06
top_left= (0, 96)  to bottom_right= (10980, 102)
Reading:  0.1949174404144287
Reading image in loop:  11.004227638244629
predict:  0.4673638343811035
append:  4.5299530029296875e-06
top_left= (0, 102)  to bottom_right= (10980, 108)
Reading:  0.21237826347351074
Reading image in loop:  11.684126853942871
predict:  0.46794843673706055
append:  7.3909759521484375e-06
top_left= (0, 108)  to bottom_right= (10980, 114)
Reading:  0.21410107612609863
Reading image in loop:  12.366369247436523
predict:  0.4683256149291992
append:  3.5762786865234375e-06
top_left= (0, 114)  to bottom_right= (10980, 120)
Reading:  0.21705937385559082
Reading image in loop:  13.051932096481323
predict:  0.4681882858276367
append:  4.0531158447265625e-06
top_left= (0, 120)  to bottom_right= (10980, 126)
Reading:  0.21437621116638184
Reading image in loop:  13.734642505645752
predict:  0.4696824550628662
append:  3.0994415283203125e-06
top_left= (0, 126)  to bottom_right= (10980, 132)
Reading:  0.21806097030639648
Reading image in loop:  14.422513008117676
predict:  0.46875572204589844
append:  3.814697265625e-06
top_left= (0, 132)  to bottom_right= (10980, 138)
Reading:  0.21713972091674805
Reading image in loop:  15.108603954315186
predict:  0.46980834007263184
append:  7.867813110351562e-06
top_left= (0, 138)  to bottom_right= (10980, 144)
Reading:  0.21021604537963867
Reading image in loop:  15.788825035095215
predict:  0.4719998836517334
append:  3.814697265625e-06
top_left= (0, 144)  to bottom_right= (10980, 150)
Reading:  0.22218036651611328
Reading image in loop:  16.48316478729248
predict:  0.46382975578308105
append:  3.337860107421875e-06
top_left= (0, 150)  to bottom_right= (10980, 156)
Reading:  0.21091270446777344
Reading image in loop:  17.158066987991333
predict:  0.46328139305114746
append:  2.384185791015625e-06
top_left= (0, 156)  to bottom_right= (10980, 162)
Reading:  0.19798517227172852
Reading image in loop:  17.819456577301025
predict:  0.4674255847930908
append:  1.2159347534179688e-05
top_left= (0, 162)  to bottom_right= (10980, 168)
Reading:  0.21240901947021484
Reading image in loop:  18.499465465545654
predict:  0.5639376640319824
append:  2.1457672119140625e-06
top_left= (0, 168)  to bottom_right= (10980, 174)
Reading:  0.19717001914978027
Reading image in loop:  19.260695695877075
predict:  0.4678232669830322
append:  3.814697265625e-06
top_left= (0, 174)  to bottom_right= (10980, 180)
Reading:  0.21191859245300293
Reading image in loop:  19.940577507019043
predict:  0.46723175048828125
append:  3.814697265625e-06
top_left= (0, 180)  to bottom_right= (10980, 186)
Reading:  0.21094846725463867
Reading image in loop:  20.618896484375
predict:  0.46917724609375
append:  4.0531158447265625e-06
top_left= (0, 186)  to bottom_right= (10980, 192)
Reading:  0.21349573135375977
Reading image in loop:  21.301714420318604
predict:  0.462421178817749
append:  5.245208740234375e-06
top_left= (0, 192)  to bottom_right= (10980, 198)
Reading:  0.17973637580871582
Reading image in loop:  21.944013833999634
predict:  0.46756720542907715
append:  4.0531158447265625e-06
top_left= (0, 198)  to bottom_right= (10980, 204)
Reading:  0.21445178985595703
Reading image in loop:  22.626170873641968
predict:  0.46604180335998535
append:  3.814697265625e-06
top_left= (0, 204)  to bottom_right= (10980, 210)
Reading:  0.20902323722839355
Reading image in loop:  23.30138397216797
predict:  0.4650270938873291
append:  1.9073486328125e-06
top_left= (0, 210)  to bottom_right= (10980, 216)
Reading:  0.18075132369995117
Reading image in loop:  23.947275161743164
predict:  0.46707749366760254
append:  4.291534423828125e-06
top_left= (0, 216)  to bottom_right= (10980, 222)
Reading:  0.21612024307250977
Reading image in loop:  24.630649089813232
predict:  0.4696691036224365
append:  3.337860107421875e-06
top_left= (0, 222)  to bottom_right= (10980, 228)
Reading:  0.21347832679748535
Reading image in loop:  25.3139328956604
predict:  0.4696385860443115
append:  4.0531158447265625e-06
top_left= (0, 228)  to bottom_right= (10980, 234)
Reading:  0.2178969383239746
Reading image in loop:  26.001624822616577
predict:  0.4666149616241455
append:  3.337860107421875e-06
top_left= (0, 234)  to bottom_right= (10980, 240)
Reading:  0.21321535110473633
Reading image in loop:  26.681593418121338
predict:  0.46926355361938477
append:  3.5762786865234375e-06
top_left= (0, 240)  to bottom_right= (10980, 246)
Reading:  0.2104966640472412
Reading image in loop:  27.361523866653442
predict:  0.4676370620727539
append:  7.867813110351562e-06
top_left= (0, 246)  to bottom_right= (10980, 252)
Reading:  0.21252775192260742
Reading image in loop:  28.041893005371094
predict:  0.4668295383453369
append:  4.5299530029296875e-06
top_left= (0, 252)  to bottom_right= (10980, 258)
Reading:  0.21448636054992676
Reading image in loop:  28.723357677459717
predict:  0.46898484230041504
append:  3.814697265625e-06
top_left= (0, 258)  to bottom_right= (10980, 264)
Reading:  0.218400239944458
Reading image in loop:  29.410885095596313
predict:  0.46750903129577637
append:  3.337860107421875e-06
top_left= (0, 264)  to bottom_right= (10980, 270)
Reading:  0.2145848274230957
Reading image in loop:  30.093117475509644
predict:  0.46677184104919434
append:  4.0531158447265625e-06
top_left= (0, 270)  to bottom_right= (10980, 276)
Reading:  0.20919275283813477
Reading image in loop:  30.76958394050598
predict:  0.46755480766296387
append:  8.58306884765625e-06
top_left= (0, 276)  to bottom_right= (10980, 282)
Reading:  0.21335053443908691
Reading image in loop:  31.450658798217773
predict:  0.4686620235443115
append:  4.76837158203125e-06
top_left= (0, 282)  to bottom_right= (10980, 288)
Reading:  0.2119438648223877
Reading image in loop:  32.13140940666199
predict:  0.4655311107635498
append:  4.0531158447265625e-06
top_left= (0, 288)  to bottom_right= (10980, 294)
Reading:  0.21644163131713867
Reading image in loop:  32.813559770584106
predict:  0.4676656723022461
append:  3.5762786865234375e-06
top_left= (0, 294)  to bottom_right= (10980, 300)
Reading:  0.21104121208190918
Reading image in loop:  33.4924111366272
predict:  0.471660852432251
append:  3.814697265625e-06
top_left= (0, 300)  to bottom_right= (10980, 306)
Reading:  0.21781253814697266
Reading image in loop:  34.182048320770264
predict:  0.46834301948547363
append:  6.9141387939453125e-06
top_left= (0, 306)  to bottom_right= (10980, 312)
Reading:  0.20557236671447754
Reading image in loop:  34.85617804527283
predict:  0.4689145088195801
append:  3.5762786865234375e-06
top_left= (0, 312)  to bottom_right= (10980, 318)
